Local Hospital/Surgery,Contact No for bloods,Comments,tAC,
Worthing,,,kings,
QE Woolwich,,,,
Newham ,,,KINGS,
GOSH/UCLH,,,,
Royal London ,,,,
Peterborough ,,,,
Addenbrookes,,,,
Royal Berkshire ,,,john radcliff in oxford,
kings ,,,,
CENTRAL MIDDLESEX,,,,
Newham ,,,,
Pembury ,,,,
Luton & Dunstable ,,,,
WEXHAM PARK,"Val 01753633403 01753633412, 01753633472, 01753633415 - haem ext. 3442 - send away virology - 3462",,,
Royal Free,,,,
Royal Free,,,,
Hichingbrook / Addenbrookes? Cambridge University Hospital,,,,
King's,,,,
Princess Alexander in Essex,,,,
St Georges / Croydon,,,,
Princess Alexandra Harlow ,,,,
St Georges ,,,,
King George (tooting),,,,
Norfolk and Norwich ,,,,
WEXHAM PARK,"Val 01753633403 01753633412, 01753633472, 01753633415 - haem ext. 3442 - send away virology - 3462",,,
Brighton ,,,,
Whittington ,,,,
William Harvey ,,,,
 ,? Lost to f/u   / nearly 18,,,
Malta,,,,
O/R SOUTHAMPTON,,,,
Watford  or Hemel,,,,
POOLE,,,,
Royal Alexandra Brighton ,,,,
Abroad,,,,
Ealing ,if GP goes to Hillingdon,,,
Royal Alexandra Brighton ,,,,
Broomfield ,,,Harefield,
Wexham,,,,
Southampton,,,,
Royal United ,,,,
Frimley Park/St Peters Chertsey,,,,
Hertfordshire SN00822106,ccn will fax next day,,,
Peterborough ,,,,
King's,,,,
Buckland / William Harvey ,,,,
HOMERTON,02085107892  - Haem       02085107888 - Biochem childrens outpatients- 5018 / 7425,,,
Darent Valley ,,,,
NHS Grampian,,,,
Worthing,,,KINGS,
Abroad,,,,
Watford ,,,,
King George,,,,
Salisbury,,,,
Chelsea & Westminster ,,,,
Royal Alexandra Brighton ,,,,
Kent & Canterbury ,,,,
Harrogata/York,,,York,
Great Western,,,,
,,,,
colchester,,,,
 KINGSTON (Not Royal Free),,,,
Lister,,,,
,,,,
Southampton (O/R),,,,
Basildon D272804,,,,
Kettering ,,,,
Wexham Park,,,,
CCN Harlow Essex,,,,
Royal Free ,,,,
Qeqm  Margate,,,,
GP ,,,,
Medway,,,,
Poole,,,,
Royal Hampshire ,,,,
Medway,,,,
Stoke Mandeville,,,,
?? St Georges ,,,,
